trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.95}",20,0,-7.233532669407986,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.05, 'e': 0.8999999999999999}",20,0,-26.208970081864884,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.05, 'e': 0.8499999999999999}",25,0,-91.7803072381594,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
4,False,"{'a': 0.05, 'e': 0.7999999999999998}",20,0,-71.95342292677111,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.05, 'e': 0.7499999999999998}",30,0,-137.04124551042608,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.05, 'e': 0.6999999999999997}",25,0,-152.07808416238248,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.05, 'e': 0.6499999999999997}",25,0,-55.66087747795814,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.05, 'e': 0.5999999999999996}",30,0,-151.83233010092698,"{0: 22, 1: 0, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.05, 'e': 0.5499999999999996}",30,0,-103.78782705399465,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.05, 'e': 0.4999999999999996}",35,3,-100.76187160580712,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 2}",1
11,False,"{'a': 0.05, 'e': 0.4499999999999996}",25,0,-65.70093357131353,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.05, 'e': 0.39999999999999963}",25,0,-31.502520843548247,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.05, 'e': 0.34999999999999964}",20,0,-109.56208038554412,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 0.05, 'e': 0.29999999999999966}",25,15,19.885569995833492,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.05, 'e': 0.24999999999999967}",20,0,-98.5841755424692,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.05, 'e': 0.19999999999999968}",20,0,-89.41310452019839,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.05, 'e': 0.1499999999999997}",25,0,7.467477440037056,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.05, 'e': 0.09999999999999969}",20,1,17.557112532204087,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.05, 'e': 0.049999999999999684}",25,0,27.380448970040014,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.05, 'e': -3.191891195797325e-16}",30,0,-67.55744906271212,"{0: 26, 1: 0, 2: 0, 3: 3, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,3,-62.86205971651756,"{0: 18, 1: 0, 2: 1, 3: 2, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,0,18.019681680112594,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,7.373301598590424,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,6,19.322273600369467,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,12,12.232594486012001,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,22,21.51946010602531,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,11.288788340761299,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,6,26.642355175328277,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,3,4.1097912714187865,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,23.25954150550219,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
