trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.995}",20,0,-138.16978822731446,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.05, 'e': 0.99}",20,8,-102.69615167490294,"{0: 5, 1: 4, 2: 1, 3: 0, 4: 2}",1
3,False,"{'a': 0.05, 'e': 0.985}",25,11,-13.83049244850686,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.05, 'e': 0.98}",20,0,-144.2844341957943,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
5,False,"{'a': 0.05, 'e': 0.975}",25,0,-199.22048218774398,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
6,False,"{'a': 0.05, 'e': 0.97}",20,0,-80.92341785330171,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.05, 'e': 0.965}",20,0,-43.033960659295516,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.05, 'e': 0.96}",20,0,-140.67932853041788,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.05, 'e': 0.955}",30,0,-42.27119501218104,"{0: 21, 1: 5, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.05, 'e': 0.95}",20,0,-101.04404313180795,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.05, 'e': 0.945}",20,0,1.4140948833990954,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.05, 'e': 0.94}",30,0,-114.09466868062361,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.05, 'e': 0.9349999999999999}",25,16,1.2919667847592156,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.05, 'e': 0.9299999999999999}",20,0,-127.04422196383472,"{0: 13, 1: 4, 2: 0, 3: 0, 4: 3}",0
15,False,"{'a': 0.05, 'e': 0.9249999999999999}",35,0,-122.26560341551195,"{0: 19, 1: 7, 2: 7, 3: 2, 4: 0}",0
16,False,"{'a': 0.05, 'e': 0.9199999999999999}",20,0,-89.42838331715139,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.05, 'e': 0.9149999999999999}",25,0,-69.61750118585081,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.05, 'e': 0.9099999999999999}",20,0,-68.6909283344957,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.05, 'e': 0.9049999999999999}",20,15,-14.273479349090627,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.05, 'e': 0.8999999999999999}",25,0,-198.29639706420286,"{0: 12, 1: 3, 2: 5, 3: 3, 4: 2}",0
21,False,"{'a': 0.05, 'e': 0.8949999999999999}",20,0,-146.8777637403584,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
22,False,"{'a': 0.05, 'e': 0.8899999999999999}",25,14,-36.195155783163074,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
23,False,"{'a': 0.05, 'e': 0.8849999999999999}",20,0,-32.790066675100874,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
24,False,"{'a': 0.05, 'e': 0.8799999999999999}",25,0,-52.3579574187815,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
25,False,"{'a': 0.05, 'e': 0.8749999999999999}",20,0,-56.07524389134563,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
26,False,"{'a': 0.05, 'e': 0.8699999999999999}",25,0,-36.63733814807972,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
27,False,"{'a': 0.05, 'e': 0.8649999999999999}",20,0,-81.57587887128213,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.05, 'e': 0.8599999999999999}",35,0,-220.49294679392233,"{0: 16, 1: 4, 2: 12, 3: 1, 4: 2}",0
29,False,"{'a': 0.05, 'e': 0.8549999999999999}",25,0,-157.15982772850913,"{0: 14, 1: 4, 2: 2, 3: 3, 4: 2}",0
30,False,"{'a': 0.05, 'e': 0.8499999999999999}",20,0,-145.66570399346597,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
31,False,"{'a': 0.05, 'e': 0.8449999999999999}",25,0,-117.49571659178393,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
32,False,"{'a': 0.05, 'e': 0.8399999999999999}",25,0,-34.63424153879841,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
33,False,"{'a': 0.05, 'e': 0.8349999999999999}",20,0,-90.68322399813889,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
34,False,"{'a': 0.05, 'e': 0.8299999999999998}",30,0,-99.30353604144116,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
35,False,"{'a': 0.05, 'e': 0.8249999999999998}",20,0,-63.69995716643172,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
36,False,"{'a': 0.05, 'e': 0.8199999999999998}",25,0,-122.16845900445018,"{0: 15, 1: 4, 2: 2, 3: 3, 4: 1}",0
37,False,"{'a': 0.05, 'e': 0.8149999999999998}",30,0,-203.88498030681365,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
38,False,"{'a': 0.05, 'e': 0.8099999999999998}",25,11,-5.6513585319870145,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.05, 'e': 0.8049999999999998}",35,0,-149.405697968734,"{0: 23, 1: 2, 2: 7, 3: 1, 4: 2}",0
40,False,"{'a': 0.05, 'e': 0.7999999999999998}",30,0,-85.15151112489787,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
41,False,"{'a': 0.05, 'e': 0.7949999999999998}",20,0,-42.03233100549734,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
42,False,"{'a': 0.05, 'e': 0.7899999999999998}",25,3,-5.519924791085221,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.05, 'e': 0.7849999999999998}",20,0,-100.27793424462169,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",1
44,False,"{'a': 0.05, 'e': 0.7799999999999998}",25,0,-76.66455492949407,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.05, 'e': 0.7749999999999998}",25,0,-84.4650158519321,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
46,False,"{'a': 0.05, 'e': 0.7699999999999998}",30,0,-96.29815653564364,"{0: 18, 1: 8, 2: 2, 3: 1, 4: 1}",0
47,False,"{'a': 0.05, 'e': 0.7649999999999998}",20,11,-47.32765730820059,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
48,False,"{'a': 0.05, 'e': 0.7599999999999998}",25,0,-114.54522741571155,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
49,False,"{'a': 0.05, 'e': 0.7549999999999998}",25,5,-7.3704198365677485,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
50,False,"{'a': 0.05, 'e': 0.7499999999999998}",20,0,-84.782196710172,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
51,False,"{'a': 0.05, 'e': 0.7449999999999998}",30,3,-135.187025235737,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 2}",1
52,False,"{'a': 0.05, 'e': 0.7399999999999998}",30,20,-41.49992276104075,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
53,False,"{'a': 0.05, 'e': 0.7349999999999998}",25,0,-53.420033539607886,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
54,False,"{'a': 0.05, 'e': 0.7299999999999998}",20,10,-41.951599855727274,"{0: 5, 1: 2, 2: 2, 3: 1, 4: 0}",1
55,False,"{'a': 0.05, 'e': 0.7249999999999998}",25,17,11.978983922108931,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.05, 'e': 0.7199999999999998}",20,0,-133.9752390955905,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
57,False,"{'a': 0.05, 'e': 0.7149999999999997}",25,13,-29.79589522145616,"{0: 7, 1: 3, 2: 1, 3: 1, 4: 0}",1
58,False,"{'a': 0.05, 'e': 0.7099999999999997}",25,0,-164.8787166991937,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
59,False,"{'a': 0.05, 'e': 0.7049999999999997}",20,14,3.006478943185398,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.05, 'e': 0.6999999999999997}",35,0,-102.2109477465553,"{0: 25, 1: 2, 2: 6, 3: 1, 4: 1}",0
61,False,"{'a': 0.05, 'e': 0.6949999999999997}",20,0,-139.99684011272836,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
62,False,"{'a': 0.05, 'e': 0.6899999999999997}",25,0,-12.6881842147742,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
63,False,"{'a': 0.05, 'e': 0.6849999999999997}",25,0,-95.0861200892976,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
64,False,"{'a': 0.05, 'e': 0.6799999999999997}",30,13,-98.22031268175112,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 2}",1
65,False,"{'a': 0.05, 'e': 0.6749999999999997}",30,0,-84.42635039842989,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
66,False,"{'a': 0.05, 'e': 0.6699999999999997}",30,0,-68.95375043433772,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
67,False,"{'a': 0.05, 'e': 0.6649999999999997}",25,0,-55.52799135321745,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",1
68,False,"{'a': 0.05, 'e': 0.6599999999999997}",20,0,-44.08180459602814,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
69,False,"{'a': 0.05, 'e': 0.6549999999999997}",30,4,-26.564861912358676,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 1}",1
70,False,"{'a': 0.05, 'e': 0.6499999999999997}",25,0,-164.1601819543613,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
71,False,"{'a': 0.05, 'e': 0.6449999999999997}",20,0,-107.72930745288767,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
72,False,"{'a': 0.05, 'e': 0.6399999999999997}",25,10,-34.53876685492441,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
73,False,"{'a': 0.05, 'e': 0.6349999999999997}",25,0,-111.70092850300836,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
74,False,"{'a': 0.05, 'e': 0.6299999999999997}",25,0,-95.7167429691758,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
75,False,"{'a': 0.05, 'e': 0.6249999999999997}",25,4,-50.979952064603765,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 1}",1
76,False,"{'a': 0.05, 'e': 0.6199999999999997}",20,0,-29.199972025660806,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
77,False,"{'a': 0.05, 'e': 0.6149999999999997}",20,0,-75.01911260430896,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
78,False,"{'a': 0.05, 'e': 0.6099999999999997}",20,0,-21.302009975798253,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
79,False,"{'a': 0.05, 'e': 0.6049999999999996}",30,5,-33.9807954208079,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.05, 'e': 0.5999999999999996}",20,0,-28.884524722872463,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
81,False,"{'a': 0.05, 'e': 0.5949999999999996}",25,0,-18.072993306287707,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
82,False,"{'a': 0.05, 'e': 0.5899999999999996}",20,15,3.187401845425839,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.05, 'e': 0.5849999999999996}",25,0,-114.42657568429044,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
84,False,"{'a': 0.05, 'e': 0.5799999999999996}",30,12,6.6894327999721686,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.05, 'e': 0.5749999999999996}",25,0,-125.39515635969639,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
86,False,"{'a': 0.05, 'e': 0.5699999999999996}",20,0,-99.4126622042323,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
87,False,"{'a': 0.05, 'e': 0.5649999999999996}",30,10,-7.431230983980453,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.05, 'e': 0.5599999999999996}",25,0,-3.829890642512238,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
89,False,"{'a': 0.05, 'e': 0.5549999999999996}",20,0,-26.217682278305926,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
90,False,"{'a': 0.05, 'e': 0.5499999999999996}",20,0,-7.043565443416703,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
91,False,"{'a': 0.05, 'e': 0.5449999999999996}",30,0,-35.42660567894157,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
92,False,"{'a': 0.05, 'e': 0.5399999999999996}",30,13,15.102580106889723,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.05, 'e': 0.5349999999999996}",20,9,-31.899183242086103,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
94,False,"{'a': 0.05, 'e': 0.5299999999999996}",30,12,-7.314958405466008,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 0}",1
