trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-106.62155453553694,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.5403023058681398}",20,0,-187.15230552071176,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",25,0,-115.27612797946855,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.4161468365471424}",20,0,-42.51480848213307,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8011436155469337}",20,0,-169.81722813836453,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9899924966004454}",25,0,-187.6276962809308,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9364566872907963}",25,0,-102.07623539096554,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6536436208636119}",20,0,-143.0170869803638,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.2107957994307797}",25,0,-90.4430120173725,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.28366218546322625}",20,0,-141.29750928343233,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.70866977429126}",25,0,-92.23522838480282,"{0: 11, 1: 7, 2: 7, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.960170286650366}",30,0,-90.31077419424089,"{0: 18, 1: 2, 2: 10, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",20,0,-57.097545914883476,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",30,0,-96.76908120124106,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.3466353178350258}",20,14,-8.543629217327865,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.14550003380861354}",20,0,-81.5304512090858,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.6020119026848236}",25,0,-90.718004350569,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9111302618846769}",25,0,-62.36911379707744,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9971721561963784}",30,0,-155.49885066733512,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8390715290764524}",30,0,-83.65790039254996,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,0,-163.79946452734904,"{0: 19, 1: 3, 2: 3, 3: 3, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-26.770669446822417,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-50.992865615493216,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-103.55179300278057,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-69.90010368323301,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-220.8282453162706,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 4}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-24.310488173915896,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-104.24906988274157,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-133.11276683980975,"{0: 14, 1: 4, 2: 3, 3: 3, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",35,0,-283.0398057893196,"{0: 15, 1: 2, 2: 13, 3: 2, 4: 3}",0
